time_resolution,train_window,test_window,quote_currency,adf_threshold,rolling_window,stop_threshold,signal_logic,model_type,overall_return
86400,60d 0H 0M 0S,54d 0H 0M 0S,BTC,-1.47,56,6.3100000000000005,discrete,raw,0.89438256109396
14400,47d 0H 0M 0S,43d 0H 0M 0S,USDT,-3.14,222,4.36,scaled,log,0.8922099014063991
14400,35d 0H 0M 0S,53d 0H 0M 0S,BTC,-2.77,30,5.109999999999999,discrete,log,0.8875978855394644
900,50d 0H 0M 0S,26d 0H 0M 0S,USDT,-2.81,3552,3.49,scaled,raw,0.8814532285118237
86400,56d 0H 0M 0S,52d 0H 0M 0S,USDT,-3.36,31,6.9399999999999995,scaled,log,0.8811120613689148
7200,19d 0H 0M 0S,7d 0H 0M 0S,USDT,-3.57,228,3.52,scaled,raw,0.8779734774160295
14400,43d 0H 0M 0S,41d 0H 0M 0S,BTC,-1.32,234,4.04,discrete,raw,0.8755424269435423
86400,56d 0H 0M 0S,31d 0H 0M 0S,BTC,-3.49,41,4.36,discrete,raw,0.8735977755364603
7200,58d 0H 0M 0S,58d 0H 0M 0S,USDT,-1.79,132,4.29,discrete,raw,0.8728617197434084
1800,23d 0H 0M 0S,31d 0H 0M 0S,BTC,-3.6,1104,6.109999999999999,discrete,log,0.8679389963230837
7200,39d 0H 0M 0S,19d 0H 0M 0S,BTC,-1.12,348,6.51,discrete,raw,0.8667898164173498
7200,26d 0H 0M 0S,5d 0H 0M 0S,BTC,-3.52,168,4.98,discrete,raw,0.8613714585012087
7200,37d 0H 0M 0S,17d 0H 0M 0S,USDT,-3.91,444,5.84,scaled,log,0.8602663343500153
86400,27d 0H 0M 0S,26d 0H 0M 0S,BTC,-2.39,13,4.71,scaled,log,0.855119960093756
14400,6d 0H 0M 0S,31d 0H 0M 0S,BTC,-3.08,36,6.45,scaled,log,0.8500551020150535
7200,34d 0H 0M 0S,59d 0H 0M 0S,USDT,-3.79,408,5.640000000000001,discrete,raw,0.8475565558448955
7200,7d 0H 0M 0S,58d 0H 0M 0S,USDT,-1.9100000000000001,84,4.02,scaled,log,0.8473649469813018
14400,6d 0H 0M 0S,34d 0H 0M 0S,USDT,-2.88,36,3.73,scaled,log,0.8460307613898759
1800,11d 0H 0M 0S,58d 0H 0M 0S,BTC,-2.1100000000000003,528,3.79,scaled,raw,0.8403428328962848
1800,5d 0H 0M 0S,25d 0H 0M 0S,USDT,-1.45,240,4.6,scaled,raw,0.834878470538802
14400,16d 0H 0M 0S,17d 0H 0M 0S,USDT,-1.94,96,3.74,discrete,raw,0.8334034137356756
900,16d 0H 0M 0S,18d 0H 0M 0S,BTC,-1.23,1536,3.23,scaled,raw,0.8296765158109186
7200,52d 0H 0M 0S,54d 0H 0M 0S,BTC,-1.63,180,3.56,scaled,log,0.828565253331612
86400,30d 0H 0M 0S,12d 0H 0M 0S,USDT,-2.44,20,4.36,scaled,log,0.8264670865739957
14400,33d 0H 0M 0S,26d 0H 0M 0S,USDT,-1.29,198,5.4,discrete,raw,0.8250670570251026
7200,22d 0H 0M 0S,24d 0H 0M 0S,USDT,-2.98,144,6.82,discrete,raw,0.8239288441004897
14400,43d 0H 0M 0S,15d 0H 0M 0S,BTC,-3.89,12,4.7,scaled,raw,0.822322983506079
300,51d 0H 0M 0S,6d 0H 0M 0S,BTC,-1.11,12384,4.77,scaled,raw,0.8218503905796024
